[27-Apr-2017 09:32:59 UTC] PHP Notice:  Undefined offset: 1 in /var/www/wordpress/wp-admin/includes/dashboard.php on line 1227
[27-Apr-2017 09:45:49 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/wordpress/wp-content/themes/codelearningtheme/index.php on line 5
[27-Apr-2017 09:53:23 UTC] PHP Notice:  Undefined variable: today in /var/www/wordpress/wp-content/themes/codelearningtheme/index.php on line 5
[27-Apr-2017 10:02:37 UTC] PHP Parse error:  syntax error, unexpected ')' in /var/www/wordpress/wp-content/themes/codelearningtheme/index.php on line 20
[27-Apr-2017 10:02:48 UTC] PHP Notice:  Undefined property: Price::$data in /var/www/wordpress/wp-content/themes/codelearningtheme/index.php on line 11
[27-Apr-2017 10:24:53 UTC] PHP Notice:  Undefined offset: 0 in /var/www/wordpress/wp-content/themes/codelearningtheme/index.php on line 6
[27-Apr-2017 10:24:53 UTC] PHP Notice:  Trying to get property of non-object in /var/www/wordpress/wp-content/themes/codelearningtheme/index.php on line 6
[27-Apr-2017 10:32:06 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/wordpress/wp-includes/formatting.php on line 48
[27-Apr-2017 10:32:36 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/wordpress/wp-includes/query.php on line 767
[27-Apr-2017 11:06:57 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /var/www/wordpress/wp-includes/wp-db.php on line 1538
[27-Apr-2017 11:06:57 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /var/www/wordpress/wp-includes/wp-db.php on line 1568
[27-Apr-2017 11:06:57 UTC] PHP Warning:  mysql_connect(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /var/www/wordpress/wp-includes/wp-db.php on line 1568
[27-Apr-2017 11:07:14 UTC] PHP Notice:  Undefined offset: 1 in /var/www/wordpress/wp-admin/includes/dashboard.php on line 1227
[27-Apr-2017 11:41:30 UTC] PHP Parse error:  syntax error, unexpected ';' in /var/www/wordpress/wp-content/themes/sampletheme/header.php on line 23
[27-Apr-2017 11:41:45 UTC] PHP Parse error:  syntax error, unexpected ';' in /var/www/wordpress/wp-content/themes/sampletheme/header.php on line 23
